,label,group,prediction
0,1.0,1.0,0.384491114701
1,1.0,1.0,0.432835820896
2,0.0,1.0,0.69133192389
3,1.0,0.0,0.56401384083
4,0.0,0.0,0.21594068582
5,1.0,0.0,0.384491114701
6,0.0,0.0,0.432835820896
7,1.0,1.0,0.56401384083
8,0.0,0.0,0.21594068582
9,0.0,1.0,0.432835820896
10,1.0,0.0,0.21594068582
11,1.0,1.0,0.384491114701
12,0.0,1.0,0.777142857143
13,1.0,0.0,0.473597359736
14,1.0,0.0,0.384491114701
15,1.0,1.0,0.56401384083
16,1.0,1.0,0.705020920502
17,1.0,0.0,0.307692307692
18,0.0,0.0,0.432835820896
19,0.0,0.0,0.21594068582
20,1.0,1.0,0.384491114701
21,0.0,0.0,0.384491114701
22,1.0,1.0,0.598526703499
23,1.0,1.0,0.777142857143
24,1.0,0.0,0.705020920502
25,1.0,1.0,0.69133192389
26,0.0,0.0,0.21594068582
27,0.0,0.0,0.69133192389
28,1.0,0.0,0.473597359736
29,1.0,0.0,0.307692307692
30,1.0,1.0,0.705020920502
31,0.0,0.0,0.307692307692
32,0.0,1.0,0.69133192389
33,0.0,1.0,0.21594068582
34,1.0,0.0,0.307692307692
35,0.0,1.0,0.307692307692
36,1.0,1.0,0.598526703499
37,1.0,0.0,0.777142857143
38,1.0,1.0,0.69133192389
39,0.0,0.0,0.21594068582
40,1.0,1.0,0.384491114701
41,0.0,1.0,0.432835820896
42,1.0,0.0,0.307692307692
43,1.0,0.0,0.56401384083
44,0.0,1.0,0.473597359736
45,1.0,1.0,0.432835820896
46,0.0,1.0,0.21594068582
47,0.0,0.0,0.473597359736
48,0.0,1.0,0.384491114701
49,1.0,1.0,0.598526703499
50,1.0,1.0,0.777142857143
51,1.0,0.0,0.307692307692
52,1.0,1.0,0.432835820896
53,1.0,1.0,0.777142857143
54,1.0,1.0,0.705020920502
55,1.0,1.0,0.56401384083
56,0.0,1.0,0.21594068582
57,0.0,1.0,0.432835820896
58,1.0,1.0,0.56401384083
59,1.0,0.0,0.56401384083
60,0.0,1.0,0.307692307692
61,1.0,1.0,0.384491114701
62,0.0,0.0,0.69133192389
63,1.0,1.0,0.432835820896
64,1.0,0.0,0.598526703499
65,0.0,1.0,0.307692307692
66,0.0,1.0,0.307692307692
67,1.0,1.0,0.777142857143
68,1.0,1.0,0.777142857143
69,1.0,1.0,0.705020920502
70,1.0,1.0,0.598526703499
71,0.0,1.0,0.307692307692
72,1.0,1.0,0.598526703499
73,1.0,0.0,0.69133192389
